BJDtcb1 BJDtcb2 BJDtdb1 BJDtdb2 RvTot ZB
2442000 0.504785304155974 2442000 0.504803041275593 -1384.79694444489 -5.10118448139307e-05
2442010 0.50420291712991 2442010 0.504220499206583 2376.34171112418 -6.3556913514895e-05
2442020 0.503506132792931 2442020 0.503523559828431 5554.18836908186 -7.41561988822914e-05
2442030 0.502716766410425 2442030 0.502734038406187 8046.47220031244 -8.24687232970911e-05
2442040 0.501858180388133 2442040 0.501875297345232 9813.37531563118 -8.83617987328389e-05
2442050 0.500968416345448 2442050 0.500985378264366 10729.5578527396 -9.1417475322042e-05
2442060 0.500052977235285 2442060 0.50006978411642 10803.9839510931 -9.16657024225831e-05
2442070 0.499150877409201 2442070 0.499167529252346 10044.7407950942 -8.91334568527968e-05
2442080 0.49829053561835 2442080 0.498307032422858 8428.86696635062 -8.37441138883399e-05
2442090 0.497498569171109 2442090 0.497514910935919 6075.9939899188 -7.5896590734037e-05
2442100 0.496798078758151 2442100 0.496814265481846 3037.33114973756 -6.57615744869e-05
2442110 0.496210728888764 2442110 0.49622676056959 -604.535407372134 -5.36143896312513e-05
2442120 0.495753183658489 2442120 0.495769060294432 -4666.91585561267 -4.00642626180447e-05
2442130 0.495437741904231 2442130 0.495453463493089 -9077.98061362941 -2.53506783236546e-05
2442140 0.495273520973039 2442140 0.495289087512466 -13684.0574082161 -9.98614811753562e-06
2442150 0.495263310795054 2442150 0.495278722282662 -18308.1522361987 5.43895992932697e-06
2442160 0.495406244911664 2442160 0.495421501345079 -22879.466771243 2.06884706388522e-05
2442170 0.495697522652917 2442170 0.49571262402984 -27220.5927752935 3.51705228371912e-05
2442180 0.496126660805807 2442180 0.496141607124098 -31214.5997368381 4.84949519312661e-05
2442190 0.49668106288703 2442190 0.496695854144749 -34800.9988766987 6.0459860844686e-05
2442200 0.497344287063797 2442200 0.497358923259256 -37822.1027127984 7.05390593951361e-05
2442210 0.498096260216987 2442210 0.498110741348809 -40242.3925546955 7.86139307082934e-05
2442220 0.498916354378894 2442220 0.498930680446024 -42013.1184177824 8.4521728668463e-05
2442230 0.49978085481408 2442230 0.499795025815829 -43031.8332896756 8.79205707895458e-05
2442240 0.500665142968575 2442240 0.500679158904636 -43336.6862174681 8.89376871342495e-05
2442250 0.501545223325198 2442250 0.501559084195636 -42893.7662730203 8.74599223947836e-05
2442260 0.50239543241636 2442260 0.502409138221639 -41683.1098332282 8.34206923905345e-05
2442270 0.503191970858522 2442270 0.503205521599473 -39794.5552973987 7.71197906450638e-05
2442280 0.503912508081015 2442280 0.503925903758818 -37219.6678465963 6.85291617039674e-05
2442290 0.504535128097089 2442290 0.504548368713261 -34034.0044483623 5.79009976424683e-05
2442300 0.505042086472402 2442300 0.505055172028737 -30356.1047431042 4.56308919949411e-05
2442310 0.505417825352534 2442310 0.505430755851066 -26218.5966434581 3.18278136162142e-05
2442320 0.505649682516672 2442320 0.505662457959632 -21782.4055842922 1.70287267988734e-05
2442330 0.505730577325353 2442330 0.505743197715083 -17173.5101878252 1.65396403972728e-06
2442340 0.505656227403611 2442340 0.505668692742517 -12474.8497733776 -1.40197581898205e-05
2442350 0.505427406245025 2442350 0.505439716535502 -7893.81908342061 -2.9300619889816e-05
2442360 0.505050531788732 2442360 0.505062687033075 -3537.9296664849 -4.38300487479726e-05
2442370 0.504535005296091 2442370 0.504547005496451 471.228117403604 -5.72025524713249e-05
2442380 0.503896091563286 2442380 0.503907936721575 3944.09605833939 -6.87859779552324e-05
2442390 0.503153075237896 2442390 0.50316476535573 6823.39967418135 -7.8389421788394e-05
2442400 0.502327531024227 2442400 0.502339066102884 8987.33508487035 -8.5606751173084e-05
2442410 0.50144561473987 2442410 0.501456994780225 10332.3320076919 -9.00926393148094e-05
2442420 0.500545955488896 2442420 0.500557180491223 10876.3531504295 -9.19070692030344e-05
2442430 0.499633138332963 2442430 0.499644208297466 10545.3377219482 -9.08030608973709e-05
2442440 0.498747954865166 2442440 0.498758869791418 9361.10379783917 -8.68533637418123e-05
2442450 0.49791696430629 2442450 0.49792772419345 7412.76050094156 -8.03551151876691e-05
2442460 0.497165518908217 2442460 0.497176123755052 4702.45938071577 -7.13153920310905e-05
2442470 0.496516866112098 2442470 0.496527315917013 1366.1876146773 -6.01876316528305e-05
2442480 0.495989091219082 2442480 0.495999385980203 -2473.90535142686 -4.73791255527489e-05
